EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_317961,"['fire steel; fire making apparatus', 'firesteel']",fire steel,Ignite & manage fire,firesteels,Ignite & manage fire
edanmdm:nmah_317904,"['fire steel; fire making apparatus', 'firesteel']",fire steel,Ignite & manage fire,firesteels,Ignite & manage fire
edanmdm:nmah_317176,"['sheet (paper); manuscript', 'receipt']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_317175,"['sheet (paper); manuscript', 'receipt']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_317174,"['sheet (paper); manuscript', 'receipt']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_317173,"['sheet (paper); manuscript', 'receipt']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_317167,"['sheet (paper); manuscript', 'deed']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_316278,"['sheet (paper)', 'sheet (paper); manuscript']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_313067,"['tinder box; fire making apparatus', 'box, tinder']",boxes,Ignite & manage fire,tinderboxes,Ignite & manage fire
edanmdm:nmah_303814,"['bottle, nursing']","bottle, nursings","Eat, cook & drink",nursing bottles,"Eat, cook & drink"
edanmdm:nmah_303412,['snuffers and tray'],trays,Ignite & manage fire,trays,Other
edanmdm:nmah_303406,['snuffers and tray'],trays,Ignite & manage fire,trays,Other
edanmdm:nmah_1894948,"[""pattern book, weaver's""]","pattern book, weaver's",Textile making,pattern books,Textile making
edanmdm:nmah_1872989,"['cannon, revolutionary war']","cannon, revolutionary wars",Fight,cannons,Fight
edanmdm:nmah_1825205,['license plate'],license plates,"Eat, cook & drink",license plates,Other
edanmdm:nmah_1824441,['ale bottle'],ale bottles,"Eat, cook & drink",ale bottles,bottles
edanmdm:nmah_1757733,"['plate, soup']","plate, soups","Eat, cook & drink",plates,"Eat, cook & drink"
edanmdm:nmah_1695804,"['scabbard, bayonet', 'scabbards']","scabbard, bayonets",Fight,bayonets,Fight
edanmdm:nmah_1461574,"['sheet (paper); manuscript', 'invoice', 'sheet (paper)']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_1460810,"['curfew', 'curfew; fire making apparatus', 'lid, tinderbox']",curfews,Ignite & manage fire,tinderboxes,Ignite & manage fire
edanmdm:nmah_1458621,"['fusil', 'musket, flintlock']","musket, flintlocks",Fight,flintlocks,Fight
edanmdm:nmah_1457126,"['glass, soda']","glass, sodas","Eat, cook & drink",glasses,"Eat, cook & drink"
edanmdm:nmah_1447483,"['medal, political']","medal, politicals",Commemorate & symbolize,medals,Commemorate & symbolize
edanmdm:nmah_1434602,"['embroidery, lace, ecclesiatical', 'embroidery, lace, ecclesiastical, table cover', 'embroidery, lace, ecclesiastical']","embroidery, lace, ecclesiaticals",Textile making,embroideries,Textile making
edanmdm:nmah_1419026,"[""weaver's pattern book""]",weaver's pattern books,Textile making,pattern books,Textile making
edanmdm:nmah_1342332,['fabric sample'],fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_1340797,"['bucket, fire']","bucket, fires",Ignite & manage fire,fire buckets,Ignite & manage fire
edanmdm:nmah_1340789,"['bucket, fire']","bucket, fires",Ignite & manage fire,fire buckets,Ignite & manage fire
edanmdm:nmah_1340788,"['bucket, fire']","bucket, fires",Ignite & manage fire,fire buckets,Ignite & manage fire
edanmdm:nmah_1340742,"['bucket, fire']","bucket, fires",Ignite & manage fire,fire buckets,Ignite & manage fire
edanmdm:nmah_1340720,"['bucket, fire']","bucket, fires",Ignite & manage fire,fire buckets,Ignite & manage fire
edanmdm:nmah_1340630,"['bucket, fire']","bucket, fires",Ignite & manage fire,fire buckets,Ignite & manage fire
edanmdm:nmah_1340531,"['bucket, fire', 'buckets (vessels)']","bucket, fires",Ignite & manage fire,fire buckets,Ignite & manage fire
edanmdm:nmah_1334639,['fabric fragment'],fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_1332546,"['fabric, fragment']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_1332545,"['fabric,fragment']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_1332520,['fabric sample'],fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_1332519,['fabric fragment'],fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_1326057,"['bottle, scent']","bottle, scents","Eat, cook & drink","bottle, scents",Other
edanmdm:nmah_1326052,"['pan, baking']","pan, baking","Eat, cook & drink",pans,"Eat, cook & drink"
edanmdm:nmah_1215669,"['glass, soda', 'glass, soda', 'glass, soda; soda fountain; furnishings']","glass, sodas","Eat, cook & drink",glasses,"Eat, cook & drink"
edanmdm:nmah_1121877,['calendar medal'],calendar medals,Commemorate & symbolize,medals,Commemorate & symbolize
edanmdm:nmah_1110401,"['document, broadside']","document, broadsides","Read, write & record",broadsides,"Read, write & record"
edanmdm:nmah_1097199,"['medal; personal; commemorative', 'medallions (medals)']",medal,Commemorate & symbolize,medals,Commemorate & symbolize
edanmdm:nmah_1096446,"['fabric length, plate printed', 'fabric, printed, copperplate']",fabric fragments,"Eat, cook & drink",fabric fragments,Textile making
edanmdm:nmah_1065301,"['frame, butter mold']","frame, butter molds",Decorate & furnish,molds,"Eat, cook & drink"
