,count,count
234,"['note', 'bank note', 'bank note; 1776 10 18']",4
235,['cabinets (case furniture)'],4
236,"['brooch; jewelry; accessories worn on the body; female', 'brooches']",4
237,"['shot; underwater', 'shot']",4
238,"['stockings', 'costume accessories worn', 'footwear']",4
239,"['warmer, foot']",4
240,"['note', 'bank note', 'bank note; 1773 04 01']",4
241,['silk picture'],4
242,"['engravings (prints)', 'print, engraving']",4
243,['sauceboat'],4
244,"['chair, side', 'chair; furniture; side; splat back, pierced', 'chairs (furniture forms)']",4
245,"['swords', 'sword; edged weapons; army; officer']",4
246,"['print; engraving', 'prints']",4
247,['bagpipes'],4
248,"['note', 'paper money', 'bank note']",3
249,"['flag, revolutionary war']",3
250,"['chest; furniture', 'chests']",3
251,['tile'],3
252,"['mortar; manufacturing & dispensing equip.', 'mortars (grinding tools)']",3
253,"['flask; jar; pharmaceutical container', 'jars']",3
254,['trivets'],3
255,"['knife; personal utensils; cutlery; folding; pocket', 'knife, folding', 'cutlery']",3
256,['pistols'],3
257,['toasters (cooking and heating devices)'],3
258,"['carder, hand']",3
259,"['lace (needlework)', 'lace, lappet']",3
260,"['dish, soup']",3
261,"['rings (object genres)', 'ring; jewelry; accessories worn on the body; female']",3
262,"['gloves, pair of; handwear; accessories worn on the body; male', 'gloves']",3
263,"['sword; edged weapons', 'swords']",3
264,"['pistols', 'pistol, flintlock', 'pistol; firearms; army; flintlock; .54 in; smooth bore; muzzle load; sa']",3
265,"['sheet of paper', 'sheet of paper; documents']",3
266,"['pistols', 'pistol, flintlock', 'pistol; firearms; flintlock; .69 in; smooth bore; muzzle load; sa']",3
267,['fire hats'],3
268,"['bayonet; edged weapons; socket', 'bayonets', 'bayonet, socket']",3
269,"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .75 in; smooth bore; muzzle load; sa']",3
270,"['print; newspaper; letterpress', 'newspapers']",3
271,"['mirrors', 'prints']",3
272,"['nails', 'nail; underwater']",3
273,"['print; mezzotint', 'mezzotints (prints)', 'prints']",3
274,"['engravings (prints)', 'print; engraving', 'prints']",3
275,['license plate'],3
276,"['quilts', 'decorative arts', 'folk art']",3
277,"['engravings (prints)', 'prints', 'stipple engraving']",3
278,['hats'],3
279,['tongs'],3
280,['chairs (furniture forms)'],3
281,"['jars', 'jar, albarello']",3
282,"['shirts', 'shirt; upper body; main dress; male']",3
283,['belts (costume accessories)'],3
284,"['handwear', 'costume accessories worn', 'mitts, pair of; handwear; accessories worn on the body; female', 'mitts', 'mitts, pair of']",3
285,"['print; intaglio; mezzotint', 'prints']",3
286,"['decorative arts', 'folk art']",3
287,"['mold, butter']",3
288,['drums (membranophones)'],3
289,['chests'],3
290,"['valance, printed']",3
291,"['note', 'bank note']",3
292,"['lace (needlework)', 'lace, flounce']",3
293,"['box, snuff']",3
294,"['note', 'bank note', 'bank note; 1780 05 05']",3
295,['horn (animal material)'],3
296,"['bed valance, printed']",3
297,['cards (information artifacts)'],3
298,"['engravings (prints)', 'line engraving', 'prints']",3
299,"['book; documents', 'books']",3
300,"['fraktur', 'documents', 'drawings']",3
301,['pens (drawing and writing)'],3
302,['shelves'],3
303,['bond'],3
304,"['receipt', 'receipt; signature']",3
305,"['pan, close stool']",3
306,"['box, tobacco']",3
307,"['continental currency', 'note', 'bank note; continental currency; 1775 05 10', 'bank note', 'continental currency']",3
308,"['chair; furniture; side; windsor', 'chairs (furniture forms)']",3
309,"['bowl, tea', 'saucers (plates)']",3
310,"['tinder pistol; fire making apparatus', 'tinderbox']",3
311,"['fraktur', 'documents', 'pen and ink', 'certificates']",3
312,['funnels'],3
313,"['note', 'bank note', 'bank note; 1778 04 11']",3
314,"['weights', 'weights (scale components)']",3
315,"['note', 'bank note; 1775 05 10', 'bank note']",3
316,"['battery; electrochemical devices', 'battery']",3
317,"['note', 'bank note', 'bank note; 1776 04 02']",3
318,"['oven, dutch']",3
319,['pitch pipe'],3
320,"['note', 'bank note; 1775 04 10', 'bank note']",3
321,"['iron, wafer']",3
322,['platters'],3
323,['roasters (cookware)'],3
324,['broiler'],3
325,['viols'],3
326,"['note', 'early american paper money']",3
327,"['caddy, tea']",3
328,"['bowl, tea', 'tea bowls']",3
329,['almanacs'],3
330,"['note', 'bank note; 1780 07 02', 'bank note']",3
331,"['card, playing']",3
332,"['chair, side', 'chair; furniture; side; shield back, open', 'chairs (furniture forms)']",3
333,['swords'],3
334,['breeches (trousers)'],3
335,"['drawing instruments, set of']",3
336,"['graphic arts', 'maps']",3
337,"['bell, cow']",3
338,"['quilts', 'decorative arts', 'crafts (art genres)']",3
339,"['sheets (paper), set of music manuscripts', 'sheets (paper), set of; sheets (paper), set of music manuscripts; manuscript']",3
340,['bassoon'],2
341,"['muskets', 'musket; firearms; flintlock; .80 in; smooth bore; muzzle load; sa']",2
