EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_1065311,"['molds (shaping tools)', 'mold, butter cheese, part of']","mold, butter cheese, part oves",Other,"mold, butter cheese, part oves","Eat, cook & drink"
edanmdm:nmah_1065310,"['mold, sugar']","mold, sugars",Other,"mold, sugars","Eat, cook & drink"
edanmdm:nmah_1065296,"['stamp, butter mold']","stamp, butter molds",Other,"stamp, butter molds","Eat, cook & drink"
edanmdm:nmah_1065295,"['stamp, butter mold']","stamp, butter molds",Other,"stamp, butter molds","Eat, cook & drink"
edanmdm:nmah_1065280,"['mold, butter, handle']","mold, butter, handles",Other,"mold, butter, handles","Eat, cook & drink"
edanmdm:nmah_1022969,"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_1022967,"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_1022966,"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_1022965,"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_1022957,"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
